freq,x,y,z
1.41601563,2.98E-05,2.98E-05,2.98E-05
1.42822266,2.16E-05,2.16E-05,2.16E-05
1.44042969,6.42E-06,6.42E-06,6.42E-06
1.45263672,2.28E-06,2.28E-06,2.28E-06
1.46484375,4.17E-05,4.17E-05,4.17E-05
1.47705078,0.000108703,0.000108703,0.000108703
1.48925781,0.000155771,0.000155771,0.000155771
1.50146484,0.000176285,0.000176285,0.000176285
1.51367188,0.000155523,0.000155523,0.000155523
1.52587891,9.33E-05,9.33E-05,9.33E-05
1.53808594,6.39E-05,6.39E-05,6.39E-05
1.55029297,5.77E-05,5.77E-05,5.77E-05
1.5625,1.41E-05,1.41E-05,1.41E-05
1.57470703,2.16E-05,2.16E-05,2.16E-05
1.58691406,6.63E-05,6.63E-05,6.63E-05
1.59912109,2.76E-05,2.76E-05,2.76E-05
1.61132813,6.29E-07,6.29E-07,6.29E-07
1.62353516,9.52E-06,9.52E-06,9.52E-06
1.63574219,2.17E-05,2.17E-05,2.17E-05
1.64794922,0.000111302,0.000111302,0.000111302
1.66015625,0.000109882,0.000109882,0.000109882
1.67236328,0.000169211,0.000169211,0.000169211
1.68457031,0.000623923,0.000623923,0.000623923
1.69677734,0.000959337,0.000959337,0.000959337
1.70898438,0.001111577,0.001111577,0.001111577
1.72119141,0.001633745,0.001633745,0.001633745
1.73339844,0.001888315,0.001888315,0.001888315
1.74560547,0.000949481,0.000949481,0.000949481
1.7578125,0.00030743,0.00030743,0.00030743
1.77001953,0.000857531,0.000857531,0.000857531
1.78222656,0.003482969,0.003482969,0.003482969
1.79443359,0.005207988,0.005207988,0.005207988
1.80664063,0.003158184,0.003158184,0.003158184
1.81884766,0.00219305,0.00219305,0.00219305
1.83105469,0.003988194,0.003988194,0.003988194
1.84326172,0.005184196,0.005184196,0.005184196
1.85546875,0.007266919,0.007266919,0.007266919
1.86767578,0.015007464,0.015007464,0.015007464
1.87988281,0.01296999,0.01296999,0.01296999
1.89208984,0.000431792,0.000431792,0.000431792
1.90429688,0.010689323,0.010689323,0.010689323
1.91650391,0.022565604,0.022565604,0.022565604
1.92871094,0.010612703,0.010612703,0.010612703
1.94091797,0.001186201,0.001186201,0.001186201
1.953125,0.000596986,0.000596986,0.000596986
1.96533203,0.032460833,0.032460833,0.032460833
1.97753906,0.181458641,0.181458641,0.181458641
1.98974609,0.335543583,0.335543583,0.335543583
2.00195313,0.299160913,0.299160913,0.299160913
2.01416016,0.225111235,0.225111235,0.225111235
2.02636719,0.234017685,0.234017685,0.234017685
2.03857422,0.191319642,0.191319642,0.191319642
2.05078125,0.08186967,0.08186967,0.08186967
2.06298828,0.073032919,0.073032919,0.073032919
2.07519531,0.188091149,0.188091149,0.188091149
2.08740234,0.167547149,0.167547149,0.167547149
2.09960938,0.029721835,0.029721835,0.029721835
2.11181641,0.014925957,0.014925957,0.014925957
2.12402344,0.009712385,0.009712385,0.009712385
2.13623047,0.080062109,0.080062109,0.080062109
2.1484375,0.356060095,0.356060095,0.356060095
2.16064453,0.444149975,0.444149975,0.444149975
2.17285156,0.264779006,0.264779006,0.264779006
2.18505859,0.087631496,0.087631496,0.087631496
2.19726563,0.019066741,0.019066741,0.019066741
2.20947266,0.033863292,0.033863292,0.033863292
2.22167969,0.054839778,0.054839778,0.054839778
2.23388672,0.011987225,0.011987225,0.011987225
2.24609375,0.022623476,0.022623476,0.022623476
2.25830078,0.117869323,0.117869323,0.117869323
2.27050781,0.181092005,0.181092005,0.181092005
2.28271484,0.311691499,0.311691499,0.311691499
2.29492188,0.426657476,0.426657476,0.426657476
2.30712891,0.312045655,0.312045655,0.312045655
2.31933594,0.104068669,0.104068669,0.104068669
2.33154297,0.054731813,0.054731813,0.054731813
2.34375,0.134996323,0.134996323,0.134996323
2.35595703,0.146301567,0.146301567,0.146301567
2.36816406,0.154623165,0.154623165,0.154623165
2.38037109,0.314495388,0.314495388,0.314495388
2.39257813,0.350031623,0.350031623,0.350031623
2.40478516,0.105417487,0.105417487,0.105417487
2.41699219,0.03484511,0.03484511,0.03484511
2.42919922,0.251656382,0.251656382,0.251656382
2.44140625,0.346233927,0.346233927,0.346233927
2.45361328,0.227318467,0.227318467,0.227318467
2.46582031,0.073763351,0.073763351,0.073763351
2.47802734,0.021220692,0.021220692,0.021220692
2.49023438,0.110706095,0.110706095,0.110706095
2.50244141,0.185523439,0.185523439,0.185523439
2.51464844,0.111702514,0.111702514,0.111702514
2.52685547,0.014723134,0.014723134,0.014723134
2.5390625,0.006758007,0.006758007,0.006758007
2.55126953,0.03468826,0.03468826,0.03468826
2.56347656,0.025562381,0.025562381,0.025562381
2.57568359,0.001656707,0.001656707,0.001656707
2.58789063,0.006741505,0.006741505,0.006741505
2.60009766,0.019992883,0.019992883,0.019992883
2.61230469,0.018241728,0.018241728,0.018241728
2.62451172,0.014060001,0.014060001,0.014060001
2.63671875,0.016358827,0.016358827,0.016358827
2.64892578,0.018570173,0.018570173,0.018570173
2.66113281,0.017724236,0.017724236,0.017724236
2.67333984,0.01438276,0.01438276,0.01438276
2.68554688,0.010866464,0.010866464,0.010866464
2.69775391,0.008008628,0.008008628,0.008008628
2.70996094,0.005250297,0.005250297,0.005250297
2.72216797,0.004497592,0.004497592,0.004497592
2.734375,0.002873555,0.002873555,0.002873555
2.74658203,0.000653034,0.000653034,0.000653034
2.75878906,0.001850244,0.001850244,0.001850244
2.77099609,0.003941365,0.003941365,0.003941365
2.78320313,0.005113322,0.005113322,0.005113322
2.79541016,0.005245722,0.005245722,0.005245722
2.80761719,0.003447834,0.003447834,0.003447834
2.81982422,0.000941655,0.000941655,0.000941655
2.83203125,0.000600131,0.000600131,0.000600131
2.84423828,0.002372784,0.002372784,0.002372784
2.85644531,0.002843989,0.002843989,0.002843989
2.86865234,0.002133982,0.002133982,0.002133982
2.88085938,0.001938901,0.001938901,0.001938901
2.89306641,0.002268443,0.002268443,0.002268443
2.90527344,0.001997125,0.001997125,0.001997125
2.91748047,0.001622049,0.001622049,0.001622049
2.9296875,0.001454385,0.001454385,0.001454385
2.94189453,0.000913393,0.000913393,0.000913393
2.95410156,0.000289232,0.000289232,0.000289232
2.96630859,0.000128186,0.000128186,0.000128186
2.97851563,0.000300812,0.000300812,0.000300812
2.99072266,0.000564688,0.000564688,0.000564688
3.00292969,0.000754079,0.000754079,0.000754079
3.01513672,0.0005015,0.0005015,0.0005015
3.02734375,0.000162561,0.000162561,0.000162561
3.03955078,0.000159397,0.000159397,0.000159397
3.05175781,0.000178948,0.000178948,0.000178948
3.06396484,0.000183671,0.000183671,0.000183671
3.07617188,0.00033757,0.00033757,0.00033757
3.08837891,0.000475619,0.000475619,0.000475619
3.10058594,0.000541025,0.000541025,0.000541025
3.11279297,0.000634481,0.000634481,0.000634481
3.125,0.000698955,0.000698955,0.000698955
3.13720703,0.000847379,0.000847379,0.000847379
3.14941406,0.000964376,0.000964376,0.000964376
3.16162109,0.000657023,0.000657023,0.000657023
3.17382813,0.000184097,0.000184097,0.000184097
3.18603516,1.55E-05,1.55E-05,1.55E-05
3.19824219,1.23E-05,1.23E-05,1.23E-05
3.21044922,0.000135037,0.000135037,0.000135037
3.22265625,0.000153539,0.000153539,0.000153539
3.23486328,8.58E-06,8.58E-06,8.58E-06
3.24707031,8.85E-05,8.85E-05,8.85E-05
3.25927734,0.00020906,0.00020906,0.00020906
3.27148438,0.000204974,0.000204974,0.000204974
3.28369141,0.000159081,0.000159081,0.000159081
3.29589844,7.26E-05,7.26E-05,7.26E-05
3.30810547,1.44E-05,1.44E-05,1.44E-05
3.3203125,1.33E-05,1.33E-05,1.33E-05
3.33251953,1.80E-05,1.80E-05,1.80E-05
3.34472656,1.72E-05,1.72E-05,1.72E-05
3.35693359,2.00E-05,2.00E-05,2.00E-05
3.36914063,2.54E-05,2.54E-05,2.54E-05
3.38134766,3.01E-05,3.01E-05,3.01E-05
3.39355469,6.00E-05,6.00E-05,6.00E-05
3.40576172,0.000108216,0.000108216,0.000108216
3.41796875,0.000100251,0.000100251,0.000100251
3.43017578,4.80E-05,4.80E-05,4.80E-05
3.44238281,6.02E-05,6.02E-05,6.02E-05
3.45458984,0.000111862,0.000111862,0.000111862
3.46679688,0.000106496,0.000106496,0.000106496
3.47900391,5.84E-05,5.84E-05,5.84E-05
3.49121094,1.70E-05,1.70E-05,1.70E-05
3.50341797,1.03E-05,1.03E-05,1.03E-05
3.515625,5.11E-05,5.11E-05,5.11E-05
3.52783203,8.87E-05,8.87E-05,8.87E-05
3.54003906,5.14E-05,5.14E-05,5.14E-05
3.55224609,3.35E-06,3.35E-06,3.35E-06
3.56445313,1.30E-05,1.30E-05,1.30E-05
3.57666016,3.49E-05,3.49E-05,3.49E-05
3.58886719,5.10E-05,5.10E-05,5.10E-05
3.60107422,6.16E-05,6.16E-05,6.16E-05
3.61328125,5.63E-05,5.63E-05,5.63E-05
3.62548828,3.51E-05,3.51E-05,3.51E-05
3.63769531,1.26E-05,1.26E-05,1.26E-05
3.64990234,1.50E-05,1.50E-05,1.50E-05
3.66210938,3.32E-05,3.32E-05,3.32E-05
3.67431641,5.21E-05,5.21E-05,5.21E-05
3.68652344,7.72E-05,7.72E-05,7.72E-05
3.69873047,8.53E-05,8.53E-05,8.53E-05
3.7109375,6.11E-05,6.11E-05,6.11E-05
3.72314453,4.31E-05,4.31E-05,4.31E-05
3.73535156,2.98E-05,2.98E-05,2.98E-05
3.74755859,3.52E-06,3.52E-06,3.52E-06
3.75976563,2.26E-05,2.26E-05,2.26E-05
3.77197266,7.59E-05,7.59E-05,7.59E-05
3.78417969,3.63E-05,3.63E-05,3.63E-05
3.79638672,0.000129457,0.000129457,0.000129457
3.80859375,0.000621898,0.000621898,0.000621898
3.82080078,0.000884887,0.000884887,0.000884887
3.83300781,0.000524697,0.000524697,0.000524697
3.84521484,0.000206074,0.000206074,0.000206074
3.85742188,0.000137537,0.000137537,0.000137537
3.86962891,0.000157289,0.000157289,0.000157289
3.88183594,0.000846759,0.000846759,0.000846759
3.89404297,0.001491677,0.001491677,0.001491677
3.90625,0.001031703,0.001031703,0.001031703
3.91845703,0.000504937,0.000504937,0.000504937
3.93066406,0.000111653,0.000111653,0.000111653
3.94287109,0.000541281,0.000541281,0.000541281
3.95507813,0.002165856,0.002165856,0.002165856
3.96728516,0.00263188,0.00263188,0.00263188
3.97949219,0.004014851,0.004014851,0.004014851
3.99169922,0.010914501,0.010914501,0.010914501
4.00390625,0.021329801,0.021329801,0.021329801
4.01611328,0.020738422,0.020738422,0.020738422
4.02832031,0.007010732,0.007010732,0.007010732
4.04052734,0.001879001,0.001879001,0.001879001
4.05273438,0.010562471,0.010562471,0.010562471
4.06494141,0.021562046,0.021562046,0.021562046
4.07714844,0.030422528,0.030422528,0.030422528
4.08935547,0.032536314,0.032536314,0.032536314
4.1015625,0.019735593,0.019735593,0.019735593
4.11376953,0.002855585,0.002855585,0.002855585
4.12597656,0.006376202,0.006376202,0.006376202
4.13818359,0.023936334,0.023936334,0.023936334
4.15039063,0.03022207,0.03022207,0.03022207
4.16259766,0.021468158,0.021468158,0.021468158
4.17480469,0.009931727,0.009931727,0.009931727
4.18701172,0.004015115,0.004015115,0.004015115
4.19921875,0.002233036,0.002233036,0.002233036
4.21142578,0.001551773,0.001551773,0.001551773
4.22363281,0.004524272,0.004524272,0.004524272
4.23583984,0.013521336,0.013521336,0.013521336
4.24804688,0.016424168,0.016424168,0.016424168
4.26025391,0.00526979,0.00526979,0.00526979
4.27246094,0.001159615,0.001159615,0.001159615
4.28466797,0.004149553,0.004149553,0.004149553
4.296875,0.001778451,0.001778451,0.001778451
4.30908203,0.000820552,0.000820552,0.000820552
4.32128906,0.003988957,0.003988957,0.003988957
4.33349609,0.002840823,0.002840823,0.002840823
4.34570313,0.000125735,0.000125735,0.000125735
4.35791016,0.002819027,0.002819027,0.002819027
4.37011719,0.00674096,0.00674096,0.00674096
4.38232422,0.006198677,0.006198677,0.006198677
4.39453125,0.001672644,0.001672644,0.001672644
4.40673828,0.001352239,0.001352239,0.001352239
4.41894531,0.003067908,0.003067908,0.003067908
4.43115234,0.001200116,0.001200116,0.001200116
4.44335938,0.004352174,0.004352174,0.004352174
4.45556641,0.014533014,0.014533014,0.014533014
4.46777344,0.017342132,0.017342132,0.017342132
4.47998047,0.009467309,0.009467309,0.009467309
4.4921875,0.001844354,0.001844354,0.001844354
4.50439453,0.000605424,0.000605424,0.000605424
4.51660156,0.00139018,0.00139018,0.00139018
4.52880859,0.000605614,0.000605614,0.000605614
4.54101563,3.92E-05,3.92E-05,3.92E-05
4.55322266,0.000358529,0.000358529,0.000358529
4.56542969,0.000382658,0.000382658,0.000382658
4.57763672,0.000250154,0.000250154,0.000250154
4.58984375,0.000794906,0.000794906,0.000794906
4.60205078,0.000426762,0.000426762,0.000426762
4.61425781,0.00027272,0.00027272,0.00027272
4.62646484,0.001436528,0.001436528,0.001436528
4.63867188,0.00162361,0.00162361,0.00162361
4.65087891,0.001132091,0.001132091,0.001132091
4.66308594,0.001228163,0.001228163,0.001228163
4.67529297,0.001050603,0.001050603,0.001050603
4.6875,0.000469318,0.000469318,0.000469318
4.69970703,0.000292149,0.000292149,0.000292149
4.71191406,0.000314707,0.000314707,0.000314707
4.72412109,0.000214836,0.000214836,0.000214836
4.73632813,0.00015581,0.00015581,0.00015581
4.74853516,8.08E-05,8.08E-05,8.08E-05
4.76074219,6.71E-05,6.71E-05,6.71E-05
4.77294922,0.000229396,0.000229396,0.000229396
4.78515625,0.000338186,0.000338186,0.000338186
4.79736328,0.00027275,0.00027275,0.00027275
4.80957031,0.000101137,0.000101137,0.000101137
4.82177734,2.19E-06,2.19E-06,2.19E-06
4.83398438,8.97E-05,8.97E-05,8.97E-05
4.84619141,9.79E-05,9.79E-05,9.79E-05
4.85839844,1.06E-05,1.06E-05,1.06E-05
4.87060547,3.99E-05,3.99E-05,3.99E-05
4.8828125,5.74E-05,5.74E-05,5.74E-05
4.89501953,3.61E-05,3.61E-05,3.61E-05
4.90722656,4.68E-05,4.68E-05,4.68E-05
4.91943359,4.98E-05,4.98E-05,4.98E-05
4.93164063,3.92E-05,3.92E-05,3.92E-05
4.94384766,2.62E-05,2.62E-05,2.62E-05
4.95605469,1.72E-05,1.72E-05,1.72E-05
4.96826172,2.73E-05,2.73E-05,2.73E-05
4.98046875,3.36E-05,3.36E-05,3.36E-05
4.99267578,1.69E-05,1.69E-05,1.69E-05
5.00488281,3.77E-06,3.77E-06,3.77E-06
5.01708984,6.38E-07,6.38E-07,6.38E-07
5.02929688,2.46E-07,2.46E-07,2.46E-07
5.04150391,1.85E-06,1.85E-06,1.85E-06
5.05371094,1.12E-06,1.12E-06,1.12E-06
5.06591797,3.17E-08,3.17E-08,3.17E-08
5.078125,1.66E-07,1.66E-07,1.66E-07
5.09033203,1.78E-07,1.78E-07,1.78E-07
5.10253906,2.90E-07,2.90E-07,2.90E-07
5.11474609,5.04E-08,5.04E-08,5.04E-08
5.12695313,6.80E-08,6.80E-08,6.80E-08
5.13916016,2.98E-06,2.98E-06,2.98E-06
5.15136719,1.24E-05,1.24E-05,1.24E-05
5.16357422,1.39E-05,1.39E-05,1.39E-05
5.17578125,6.04E-06,6.04E-06,6.04E-06
5.18798828,6.90E-06,6.90E-06,6.90E-06
5.20019531,9.36E-06,9.36E-06,9.36E-06
5.21240234,4.42E-06,4.42E-06,4.42E-06
5.22460938,2.23E-07,2.23E-07,2.23E-07
5.23681641,2.80E-06,2.80E-06,2.80E-06
5.24902344,7.12E-06,7.12E-06,7.12E-06
5.26123047,6.06E-06,6.06E-06,6.06E-06
5.2734375,3.03E-06,3.03E-06,3.03E-06
5.28564453,1.80E-06,1.80E-06,1.80E-06
5.29785156,7.18E-07,7.18E-07,7.18E-07
5.31005859,1.83E-06,1.83E-06,1.83E-06
5.32226563,7.90E-06,7.90E-06,7.90E-06
5.33447266,1.29E-05,1.29E-05,1.29E-05
5.34667969,1.18E-05,1.18E-05,1.18E-05
5.35888672,7.17E-06,7.17E-06,7.17E-06
5.37109375,2.90E-06,2.90E-06,2.90E-06
5.38330078,1.51E-06,1.51E-06,1.51E-06
5.39550781,1.79E-06,1.79E-06,1.79E-06
5.40771484,2.11E-06,2.11E-06,2.11E-06
5.41992188,2.02E-06,2.02E-06,2.02E-06
5.43212891,1.57E-06,1.57E-06,1.57E-06
5.44433594,6.93E-07,6.93E-07,6.93E-07
5.45654297,1.57E-07,1.57E-07,1.57E-07
5.46875,2.79E-07,2.79E-07,2.79E-07
5.48095703,5.15E-08,5.15E-08,5.15E-08
5.49316406,3.49E-07,3.49E-07,3.49E-07
5.50537109,1.92E-06,1.92E-06,1.92E-06
5.51757813,3.75E-06,3.75E-06,3.75E-06
5.52978516,4.42E-06,4.42E-06,4.42E-06
5.54199219,3.29E-06,3.29E-06,3.29E-06
5.55419922,1.27E-06,1.27E-06,1.27E-06
5.56640625,7.00E-07,7.00E-07,7.00E-07
5.57861328,1.08E-06,1.08E-06,1.08E-06
5.59082031,8.35E-07,8.35E-07,8.35E-07
5.60302734,9.42E-07,9.42E-07,9.42E-07
5.61523438,1.16E-06,1.16E-06,1.16E-06
5.62744141,6.89E-07,6.89E-07,6.89E-07
5.63964844,3.42E-07,3.42E-07,3.42E-07
5.65185547,3.58E-07,3.58E-07,3.58E-07
5.6640625,2.43E-07,2.43E-07,2.43E-07
5.67626953,3.55E-07,3.55E-07,3.55E-07
5.68847656,7.17E-07,7.17E-07,7.17E-07
5.70068359,2.69E-07,2.69E-07,2.69E-07
5.71289063,3.35E-07,3.35E-07,3.35E-07
5.72509766,6.30E-07,6.30E-07,6.30E-07
5.73730469,2.47E-07,2.47E-07,2.47E-07
5.74951172,4.07E-06,4.07E-06,4.07E-06
5.76171875,8.17E-06,8.17E-06,8.17E-06
5.77392578,4.32E-06,4.32E-06,4.32E-06
5.78613281,7.19E-07,7.19E-07,7.19E-07
5.79833984,2.93E-06,2.93E-06,2.93E-06
5.81054688,2.56E-06,2.56E-06,2.56E-06
5.82275391,9.59E-07,9.59E-07,9.59E-07
5.83496094,9.43E-07,9.43E-07,9.43E-07
5.84716797,7.76E-07,7.76E-07,7.76E-07
5.859375,2.24E-06,2.24E-06,2.24E-06
5.87158203,3.25E-06,3.25E-06,3.25E-06
5.88378906,1.02E-05,1.02E-05,1.02E-05
5.89599609,2.22E-05,2.22E-05,2.22E-05
5.90820313,2.73E-05,2.73E-05,2.73E-05
5.92041016,2.01E-05,2.01E-05,2.01E-05
5.93261719,2.25E-05,2.25E-05,2.25E-05
5.94482422,5.01E-05,5.01E-05,5.01E-05
5.95703125,5.37E-05,5.37E-05,5.37E-05
5.96923828,2.46E-05,2.46E-05,2.46E-05
5.98144531,4.69E-06,4.69E-06,4.69E-06
5.99365234,1.08E-06,1.08E-06,1.08E-06
6.00585938,8.67E-07,8.67E-07,8.67E-07
6.01806641,2.42E-05,2.42E-05,2.42E-05
6.03027344,6.37E-05,6.37E-05,6.37E-05
6.04248047,4.45E-05,4.45E-05,4.45E-05
6.0546875,1.80E-05,1.80E-05,1.80E-05
6.06689453,9.92E-05,9.92E-05,9.92E-05
6.07910156,0.000171459,0.000171459,0.000171459
6.09130859,0.000102342,0.000102342,0.000102342
6.10351563,2.29E-05,2.29E-05,2.29E-05
6.11572266,6.16E-05,6.16E-05,6.16E-05
6.12792969,0.000140026,0.000140026,0.000140026
6.14013672,0.000202192,0.000202192,0.000202192
6.15234375,0.000293667,0.000293667,0.000293667
6.16455078,0.00035204,0.00035204,0.00035204
6.17675781,0.000246006,0.000246006,0.000246006
6.18896484,8.20E-05,8.20E-05,8.20E-05
6.20117188,1.21E-05,1.21E-05,1.21E-05
6.21337891,3.77E-05,3.77E-05,3.77E-05
6.22558594,0.000129864,0.000129864,0.000129864
6.23779297,0.000160559,0.000160559,0.000160559
6.25,0.000112237,0.000112237,0.000112237
6.26220703,9.40E-05,9.40E-05,9.40E-05
6.27441406,0.000105619,0.000105619,0.000105619
6.28662109,7.81E-05,7.81E-05,7.81E-05
6.29882813,4.79E-05,4.79E-05,4.79E-05
6.31103516,7.35E-05,7.35E-05,7.35E-05
6.32324219,0.000106627,0.000106627,0.000106627
6.33544922,9.14E-05,9.14E-05,9.14E-05
6.34765625,7.89E-05,7.89E-05,7.89E-05
6.35986328,0.000120909,0.000120909,0.000120909
6.37207031,0.000110516,0.000110516,0.000110516
6.38427734,3.25E-05,3.25E-05,3.25E-05
6.39648438,9.58E-07,9.58E-07,9.58E-07
6.40869141,2.50E-05,2.50E-05,2.50E-05
6.42089844,7.96E-05,7.96E-05,7.96E-05
6.43310547,8.63E-05,8.63E-05,8.63E-05
6.4453125,4.91E-05,4.91E-05,4.91E-05
6.45751953,4.48E-05,4.48E-05,4.48E-05
6.46972656,3.67E-05,3.67E-05,3.67E-05
6.48193359,4.91E-05,4.91E-05,4.91E-05
6.49414063,0.000101663,0.000101663,0.000101663
6.50634766,9.42E-05,9.42E-05,9.42E-05
6.51855469,4.16E-05,4.16E-05,4.16E-05
6.53076172,8.36E-06,8.36E-06,8.36E-06
6.54296875,3.50E-06,3.50E-06,3.50E-06
6.55517578,2.77E-05,2.77E-05,2.77E-05
6.56738281,5.08E-05,5.08E-05,5.08E-05
6.57958984,4.12E-05,4.12E-05,4.12E-05
6.59179688,2.18E-05,2.18E-05,2.18E-05
6.60400391,1.38E-05,1.38E-05,1.38E-05
6.61621094,1.54E-05,1.54E-05,1.54E-05
6.62841797,1.37E-05,1.37E-05,1.37E-05
